Table,Year,Sex,IncomeCode,IncomeDescription,Mean,MeanFlag,MeanRse,Median,MedianFlag,MedianRse
T3,2007,11,10,0wages and salaries,43607,,5.5,40046,,3.9
T3,2007,11,11,1self-employment,44805,*,23.6,33480,,12.2
T3,2007,11,12,2investments,6187,*,28.1,1175,*,23.4
T3,2007,11,13,3private superannuation,21365,*,25.3,17095,,11.6
T3,2007,11,14,4New Zealand Superannuation and war pensions,12682,,3.3,12393,,1.6
T3,2007,11,15,5Other government benefits,6954,,11.5,6162,,15.1
T3,2007,11,16,6Other regular sources,9997,*,31.2,2630,*,40
T3,2007,11,17,7Total regular and recurring income,42532,,6,35614,,5.4
T3,2007,11,18,8Total irregular Income,13332,*,37.2,3623,*,26.3
T3,2007,11,19,9Total income all sources,43003,,5.9,36000,,5.3
T3,2007,12,10,0wages and salaries,30265,,5.2,26071,,6.1
T3,2007,12,11,1self-employment,22261,*,23.9,13237,*,23.7
T3,2007,12,12,2investments,5513,*,23.4,921,*,21.4
T3,2007,12,13,3private superannuation,11226,*,34.9,8379,*,22.3
T3,2007,12,14,4New Zealand Superannuation and war pensions,13290,,3.4,12639,,1.1
T3,2007,12,15,5Other government benefits,9165,,9.2,6240,,18.2
T3,2007,12,16,6Other regular sources,8450,*,25.4,3000,*,30.4
T3,2007,12,17,7Total regular and recurring income,29244,,4,22880,,4.5
T3,2007,12,18,8Total irregular Income,14953,*,36.4,2166,**,55.2
T3,2007,12,19,9Total income all sources,29998,,4.3,23265,,4.5
T3,2007,13,10,0wages and salaries,36816,,4.3,33000,,4.2
T3,2007,13,11,1self-employment,37608,,19.8,25000,,17.3
T3,2007,13,12,2investments,5843,,18.8,1000,,20.1
T3,2007,13,13,3private superannuation,17981,*,22.2,13982,,17.8
T3,2007,13,14,4New Zealand Superannuation and war pensions,13028,,2.7,12484,,1
T3,2007,13,15,5Other government benefits,8403,,7,6209,,13.1
T3,2007,13,16,6Other regular sources,9142,*,24.7,2877,*,24.1
T3,2007,13,17,7Total regular and recurring income,35719,,4,28323,,4.2
T3,2007,13,18,8Total irregular Income,14328,*,28.8,2630,*,36.3
T3,2007,13,19,9Total income all sources,36327,,4,28714,,4.2
T4,2007,11,10,0wages and salaries,27247,,6.2,17729,*,33.5
T4,2007,11,11,1self-employment,6656,*,30,0,,
T4,2007,11,12,2investments,1774,*,30.4,0,,
T4,2007,11,13,3private superannuation,546,*,34.3,0,,
T4,2007,11,14,4New Zealand Superannuation and war pensions,1641,,5.8,0,,
T4,2007,11,15,5Other government benefits,1036,*,21.1,0,,
T4,2007,11,16,6Other regular sources,1037,*,35.5,0,,
T4,2007,11,17,7Total regular and recurring income,39937,,5.8,33000,,5.7
T4,2007,11,18,8Total irregular Income,472,*,42.4,0,,
T4,2007,11,19,9Total income all sources,40409,,5.8,33282,,6
T4,2007,12,10,0wages and salaries,18343,,6,6857,*,23.7
T4,2007,12,11,1self-employment,1451,*,28.5,0,,
T4,2007,12,12,2investments,1539,*,24,0,,
T4,2007,12,13,3private superannuation,134,*,46.7,0,,
T4,2007,12,14,4New Zealand Superannuation and war pensions,2125,,5.5,0,,
T4,2007,12,15,5Other government benefits,2429,,10.9,0,,
T4,2007,12,16,6Other regular sources,1013,*,29.8,0,,
T4,2007,12,17,7Total regular and recurring income,27033,,4,20630,,5.8
T4,2007,12,18,8Total irregular Income,790,*,40.2,0,,
T4,2007,12,19,9Total income all sources,27823,,4.3,21107,,5.7
T4,2007,13,10,0wages and salaries,22647,,4.7,9386,,20.8
T4,2007,13,11,1self-employment,3967,*,25.1,0,,
T4,2007,13,12,2investments,1652,,20.7,0,,
T4,2007,13,13,3private superannuation,333,*,28.4,0,,
T4,2007,13,14,4New Zealand Superannuation and war pensions,1891,,4.5,0,,
T4,2007,13,15,5Other government benefits,1756,,11.4,0,,
T4,2007,13,16,6Other regular sources,1025,*,29,0,,
T4,2007,13,17,7Total regular and recurring income,33271,,3.9,25798,,4.8
T4,2007,13,18,8Total irregular Income,636,*,33.4,0,,
T4,2007,13,19,9Total income all sources,33907,,3.8,26107,,4.8
T3,2008,11,10,0wages and salaries,45836,,4.1,41080,,3.1
T3,2008,11,11,1self-employment,47164,,14,35000,,10.4
T3,2008,11,12,2investments,7791,*,24.3,1052,,18.8
T3,2008,11,13,3private superannuation,24216,*,38.1,15158,,11.1
T3,2008,11,14,4New Zealand Superannuation and war pensions,13706,,3.3,13296,,1.1
T3,2008,11,15,5Other government benefits,7014,,10.8,4836,,15.8
T3,2008,11,16,6Other regular sources,13237,*,28.2,2723,*,26.2
T3,2008,11,17,7Total regular and recurring income,46688,,4.6,37329,,3.9
T3,2008,11,18,8Total irregular Income,23187,*,42.7,4603,*,25.8
T3,2008,11,19,9Total income all sources,47569,,4.8,37543,,4.4
T3,2008,12,10,0wages and salaries,31039,,4.3,28679,,4.7
T3,2008,12,11,1self-employment,28535,*,24.2,19900,*,22.4
T3,2008,12,12,2investments,5783,,17.5,963,,17
T3,2008,12,13,3private superannuation,16517,*,45.8,11486,,17.9
T3,2008,12,14,4New Zealand Superannuation and war pensions,14585,,2,13766,,4.5
T3,2008,12,15,5Other government benefits,9493,,7.8,6474,,11.5
T3,2008,12,16,6Other regular sources,7786,*,27.8,2000,*,21.6
T3,2008,12,17,7Total regular and recurring income,30849,,4.2,24194,,4.2
T3,2008,12,18,8Total irregular Income,28926,*,41.6,3419,*,48.3
T3,2008,12,19,9Total income all sources,31986,,4.5,24445,,4.5
T3,2008,13,10,0wages and salaries,38541,,3.2,34675,,3
T3,2008,13,11,1self-employment,39980,,13.7,28000,,10.8
T3,2008,13,12,2investments,6752,,17.4,1000,,16.2
T3,2008,13,13,3private superannuation,21900,*,32.8,13741,,8.7
T3,2008,13,14,4New Zealand Superannuation and war pensions,14194,,2.1,13296,,1.1
T3,2008,13,15,5Other government benefits,8661,,6.8,5824,,10.9
T3,2008,13,16,6Other regular sources,10227,*,23.5,2357,,16.4
T3,2008,13,17,7Total regular and recurring income,38584,,3.6,30317,,2.7
T3,2008,13,18,8Total irregular Income,26280,*,27.6,3945,*,31.7
T3,2008,13,19,9Total income all sources,39584,,3.8,30590,,2.7
T4,2008,11,10,0wages and salaries,29493,,4.9,22685,,15.6
T4,2008,11,11,1self-employment,7128,,15.8,0,,
T4,2008,11,12,2investments,2546,*,24,0,,
T4,2008,11,13,3private superannuation,641,*,47.7,0,,
T4,2008,11,14,4New Zealand Superannuation and war pensions,1832,,5,0,,
T4,2008,11,15,5Other government benefits,1002,,16.3,0,,
T4,2008,11,16,6Other regular sources,1552,*,32.6,0,,
T4,2008,11,17,7Total regular and recurring income,44193,,4.7,35400,,3.6
T4,2008,11,18,8Total irregular Income,849,*,46.3,0,,
T4,2008,11,19,9Total income all sources,45043,,5,35726,,3.8
T4,2008,12,10,0wages and salaries,18154,,5.9,6883,*,28.7
T4,2008,12,11,1self-employment,2530,*,26.7,0,,
T4,2008,12,12,2investments,1896,,18.3,0,,
T4,2008,12,13,3private superannuation,176,**,53.8,0,,
T4,2008,12,14,4New Zealand Superannuation and war pensions,2274,,3.2,0,,
T4,2008,12,15,5Other government benefits,2508,,10.6,0,,
T4,2008,12,16,6Other regular sources,1052,*,28.9,0,,
T4,2008,12,17,7Total regular and recurring income,28591,,4.2,21822,,5.6
T4,2008,12,18,8Total irregular Income,1158,*,46.3,0,,
T4,2008,12,19,9Total income all sources,29749,,4.5,22135,,5.6
T4,2008,13,10,0wages and salaries,23632,,3.9,11126,,15
T4,2008,13,11,1self-employment,4751,,15.8,0,,
T4,2008,13,12,2investments,2210,,17.5,0,,
T4,2008,13,13,3private superannuation,401,*,39,0,,
T4,2008,13,14,4New Zealand Superannuation and war pensions,2061,,3,0,,
T4,2008,13,15,5Other government benefits,1781,,8.7,0,,
T4,2008,13,16,6Other regular sources,1294,*,25.2,0,,
T4,2008,13,17,7Total regular and recurring income,36129,,3.7,28157,,3.8
T4,2008,13,18,8Total irregular Income,1009,*,33.5,0,,
T4,2008,13,19,9Total income all sources,37137,,3.8,28623,,3.9
T3,2009,11,10,0wages and salaries,48082,,3.8,42705,,4.3
T3,2009,11,11,1self-employment,56896,,14.5,38000,,10.2
T3,2009,11,12,2investments,8039,*,29.2,1219,*,21.4
T3,2009,11,13,3private superannuation,20053,,18.2,19474,,16.8
T3,2009,11,14,4New Zealand Superannuation and war pensions,14109,,3.2,14041,,1.3
T3,2009,11,15,5Other government benefits,7962,,10.1,6572,,19.4
T3,2009,11,16,6Other regular sources,13339,*,40,2549,*,23.2
T3,2009,11,17,7Total regular and recurring income,49610,,5.3,39505,,3.4
T3,2009,11,18,8Total irregular Income,25311,**,69.4,2630,**,52.8
T3,2009,11,19,9Total income all sources,50775,,5.8,39766,,3.4
T3,2009,12,10,0wages and salaries,33384,,4.3,30113,,4.4
T3,2009,12,11,1self-employment,28597,*,26.6,19523,*,22.8
T3,2009,12,12,2investments,5148,,13.3,1000,,19.6
T3,2009,12,13,3private superannuation,11656,*,29.8,9402,,18.6
T3,2009,12,14,4New Zealand Superannuation and war pensions,15097,,2.3,14602,,3.9
T3,2009,12,15,5Other government benefits,9084,,7.7,6448,,10.6
T3,2009,12,16,6Other regular sources,9717,*,32.8,2600,*,29.9
T3,2009,12,17,7Total regular and recurring income,31891,,3.8,26028,,4.2
T3,2009,12,18,8Total irregular Income,13074,*,32.2,3025,*,30.5
T3,2009,12,19,9Total income all sources,32516,,3.7,26175,,4.8
T3,2009,13,10,0wages and salaries,40808,,3.1,36500,,3
T3,2009,13,11,1self-employment,46756,,13.9,29918,,11.5
T3,2009,13,12,2investments,6557,,20.2,1032,,19.3
T3,2009,13,13,3private superannuation,17117,,16,14531,,9
T3,2009,13,14,4New Zealand Superannuation and war pensions,14655,,2,14125,,0.1
T3,2009,13,15,5Other government benefits,8728,,6.7,6474,,11
T3,2009,13,16,6Other regular sources,11283,*,28.8,2551,*,22
T3,2009,13,17,7Total regular and recurring income,40485,,3.8,32085,,2.9
T3,2009,13,18,8Total irregular Income,18755,*,47.1,3000,*,39
T3,2009,13,19,9Total income all sources,41368,,4.1,32282,,3.2
T4,2009,11,10,0wages and salaries,29959,,5.3,21691,*,24.8
T4,2009,11,11,1self-employment,8412,,18.3,0,,
T4,2009,11,12,2investments,2901,*,29.9,0,,
T4,2009,11,13,3private superannuation,539,*,32.6,0,,
T4,2009,11,14,4New Zealand Superannuation and war pensions,1967,,5.3,0,,
T4,2009,11,15,5Other government benefits,1115,,16.9,0,,
T4,2009,11,16,6Other regular sources,1625,*,43.4,0,,
T4,2009,11,17,7Total regular and recurring income,46518,,5.4,37353,,4.5
T4,2009,11,18,8Total irregular Income,1148,**,72.7,0,,
T4,2009,11,19,9Total income all sources,47666,,5.9,37543,,4.4
T4,2009,12,10,0wages and salaries,19035,,5.8,5906,*,32.1
T4,2009,12,11,1self-employment,2205,*,29.5,0,,
T4,2009,12,12,2investments,1825,,14.6,0,,
T4,2009,12,13,3private superannuation,157,*,40,0,,
T4,2009,12,14,4New Zealand Superannuation and war pensions,2424,,3.6,0,,
T4,2009,12,15,5Other government benefits,2554,,9.1,0,,
T4,2009,12,16,6Other regular sources,1451,*,31.8,0,,
T4,2009,12,17,7Total regular and recurring income,29652,,4.1,23952,,4.5
T4,2009,12,18,8Total irregular Income,639,*,37,0,,
T4,2009,12,19,9Total income all sources,30291,,4,24000,,4.5
T4,2009,13,10,0wages and salaries,24310,,4.3,10695,*,21
T4,2009,13,11,1self-employment,5203,,16.9,0,,
T4,2009,13,12,2investments,2344,,20.7,0,,
T4,2009,13,13,3private superannuation,342,*,26.2,0,,
T4,2009,13,14,4New Zealand Superannuation and war pensions,2203,,3,0,,
T4,2009,13,15,5Other government benefits,1859,,9.5,0,,
T4,2009,13,16,6Other regular sources,1535,*,29.5,0,,
T4,2009,13,17,7Total regular and recurring income,37796,,3.8,29870,,3.6
T4,2009,13,18,8Total irregular Income,885,*,47.3,0,,
T4,2009,13,19,9Total income all sources,38681,,4.1,30000,,3.8
T3,2010,11,10,0wages and salaries,49784,,5.5,42247,,3.6
T3,2010,11,11,1self-employment,44450,,16.7,34904,,14.1
T3,2010,11,12,2investments,6749,*,21.9,1056,*,21.6
T3,2010,11,13,3private superannuation,24317,*,35.7,17646,,16.5
T3,2010,11,14,4New Zealand Superannuation and war pensions,14279,,3,14216,,0.3
T3,2010,11,15,5Other government benefits,7894,,10.1,6221,,15.6
T3,2010,11,16,6Other regular sources,12493,*,34.8,2000,,19.5
T3,2010,11,17,7Total regular and recurring income,47042,,5,38012,,5
T3,2010,11,18,8Total irregular Income,23105,**,59,2367,*,38.1
T3,2010,11,19,9Total income all sources,48137,,5.1,38374,,4.7
T3,2010,12,10,0wages and salaries,33786,,4.1,30869,,5.4
T3,2010,12,11,1self-employment,29564,*,25.7,16686,,20.4
T3,2010,12,12,2investments,5291,,16.3,789,,20.2
T3,2010,12,13,3private superannuation,12367,*,22.1,12069,,14.4
T3,2010,12,14,4New Zealand Superannuation and war pensions,15434,,2.7,14265,,1.2
T3,2010,12,15,5Other government benefits,10150,,7.3,7488,,9.3
T3,2010,12,16,6Other regular sources,7913,*,23,1500,*,32.7
T3,2010,12,17,7Total regular and recurring income,32479,,3.6,26293,,4.4
T3,2010,12,18,8Total irregular Income,18651,*,48.7,2600,*,29.1
T3,2010,12,19,9Total income all sources,33647,,3.9,26963,,4.5
T3,2010,13,10,0wages and salaries,41776,,4,36902,,3.5
T3,2010,13,11,1self-employment,39112,,16.6,26071,,15.1
T3,2010,13,12,2investments,6007,,15.8,921,,16.4
T3,2010,13,13,3private superannuation,19953,*,25.4,14351,,13.8
T3,2010,13,14,4New Zealand Superannuation and war pensions,14908,,2.2,14229,,0
T3,2010,13,15,5Other government benefits,9340,,6.1,7146,,9.5
T3,2010,13,16,6Other regular sources,9942,*,23.1,2000,,18.9
T3,2010,13,17,7Total regular and recurring income,39585,,3.7,30643,,3.7
T3,2010,13,18,8Total irregular Income,20558,*,39.6,2499,*,26.5
T3,2010,13,19,9Total income all sources,40719,,3.7,31065,,3.7
T4,2010,11,10,0wages and salaries,30801,,6.8,17207,*,27.6
T4,2010,11,11,1self-employment,5761,,19.4,0,,
T4,2010,11,12,2investments,2247,*,21.9,0,,
T4,2010,11,13,3private superannuation,556,*,44.4,0,,
T4,2010,11,14,4New Zealand Superannuation and war pensions,2039,,4.5,0,,
T4,2010,11,15,5Other government benefits,1376,,15.9,0,,
T4,2010,11,16,6Other regular sources,1607,*,38.1,0,,
T4,2010,11,17,7Total regular and recurring income,44387,,5.1,35446,,6
T4,2010,11,18,8Total irregular Income,1112,**,68.3,0,,
T4,2010,11,19,9Total income all sources,45499,,5.1,35457,,6.2
T4,2010,12,10,0wages and salaries,19561,,5.1,6674,*,35.1
T4,2010,12,11,1self-employment,2000,*,31.7,0,,
T4,2010,12,12,2investments,1705,,18.5,0,,
T4,2010,12,13,3private superannuation,152,*,42.3,0,,
T4,2010,12,14,4New Zealand Superannuation and war pensions,2464,,4.3,0,,
T4,2010,12,15,5Other government benefits,2949,,10.2,0,,
T4,2010,12,16,6Other regular sources,1194,*,24.9,0,,
T4,2010,12,17,7Total regular and recurring income,30025,,3.6,24000,,5.5
T4,2010,12,18,8Total irregular Income,1120,*,49.4,0,,
T4,2010,12,19,9Total income all sources,31145,,3.9,24767,,5.4
T4,2010,13,10,0wages and salaries,24988,,5,10000,*,22.2
T4,2010,13,11,1self-employment,3816,,19.4,0,,
T4,2010,13,12,2investments,1967,,16.4,0,,
T4,2010,13,13,3private superannuation,347,*,37.7,0,,
T4,2010,13,14,4New Zealand Superannuation and war pensions,2259,,3.4,0,,
T4,2010,13,15,5Other government benefits,2189,,10,0,,
T4,2010,13,16,6Other regular sources,1394,*,25.9,0,,
T4,2010,13,17,7Total regular and recurring income,36960,,3.7,28410,,3.5
T4,2010,13,18,8Total irregular Income,1116,*,40.9,0,,
T4,2010,13,19,9Total income all sources,38076,,3.7,28908,,3.8
T3,2011,11,10,0wages and salaries,50550,,4.9,43429,,4.7
T3,2011,11,11,1self-employment,47616,,16.6,34110,,15.5
T3,2011,11,12,2investments,7112,*,31.8,789,*,21.1
T3,2011,11,13,3private superannuation,23470,,19.9,18894,,12.9
T3,2011,11,14,4New Zealand Superannuation and war pensions,14771,,2.8,14592,,0.6
T3,2011,11,15,5Other government benefits,7573,,9.8,6240,,17.1
T3,2011,11,16,6Other regular sources,8997,*,28.2,1715,,18.4
T3,2011,11,17,7Total regular and recurring income,48479,,5.3,38000,,4.3
T3,2011,11,18,8Total irregular Income,30891,**,75.8,4000,*,34.1
T3,2011,11,19,9Total income all sources,49657,,5.7,38534,,4.1
T3,2011,12,10,0wages and salaries,36160,,4.3,31872,,5.1
T3,2011,12,11,1self-employment,27181,*,30.7,20836,,19.1
T3,2011,12,12,2investments,6538,*,24.5,792,*,22.7
T3,2011,12,13,3private superannuation,16760,*,31.5,11757,,16.9
T3,2011,12,14,4New Zealand Superannuation and war pensions,15771,,2.5,15082,,1.1
T3,2011,12,15,5Other government benefits,10400,,5.7,7493,,11
T3,2011,12,16,6Other regular sources,10812,*,39.8,2500,*,26.2
T3,2011,12,17,7Total regular and recurring income,34054,,5.2,26766,,4.2
T3,2011,12,18,8Total irregular Income,28179,**,52.5,3288,*,35.4
T3,2011,12,19,9Total income all sources,35223,,5.3,27076,,4.2
T3,2011,13,10,0wages and salaries,43350,,3.5,37482,,3.3
T3,2011,13,11,1self-employment,41064,,16.6,29629,,10.6
T3,2011,13,12,2investments,6815,*,22.3,789,,20.9
T3,2011,13,13,3private superannuation,21113,,17.6,16830,,17.1
T3,2011,13,14,4New Zealand Superannuation and war pensions,15315,,2.1,15053,,1.5
T3,2011,13,15,5Other government benefits,9380,,4.9,6970,,10
T3,2011,13,16,6Other regular sources,9958,*,28.9,2000,*,24.9
T3,2011,13,17,7Total regular and recurring income,41047,,4.2,31499,,3.4
T3,2011,13,18,8Total irregular Income,29469,*,47.9,3600,*,37.4
T3,2011,13,19,9Total income all sources,42223,,4.6,31855,,3.6
T4,2011,11,10,0wages and salaries,30314,,5.8,15956,*,24.3
T4,2011,11,11,1self-employment,7455,*,21.3,0,,
T4,2011,11,12,2investments,2227,*,32.6,0,,
T4,2011,11,13,3private superannuation,590,*,28,0,,
T4,2011,11,14,4New Zealand Superannuation and war pensions,2182,,5.7,0,,
T4,2011,11,15,5Other government benefits,1375,,16.3,0,,
T4,2011,11,16,6Other regular sources,1142,*,32.5,0,,
T4,2011,11,17,7Total regular and recurring income,45286,,5.3,35457,,4.4
T4,2011,11,18,8Total irregular Income,1196,**,85.5,0,,
T4,2011,11,19,9Total income all sources,46482,,5.7,35882,,4.4
T4,2011,12,10,0wages and salaries,20266,,5.6,4954,*,40
T4,2011,12,11,1self-employment,1874,*,32.7,0,,
T4,2011,12,12,2investments,2046,*,24,0,,
T4,2011,12,13,3private superannuation,213,*,46.8,0,,
T4,2011,12,14,4New Zealand Superannuation and war pensions,2587,,3.3,0,,
T4,2011,12,15,5Other government benefits,3122,,7.9,0,,
T4,2011,12,16,6Other regular sources,1442,*,42.5,0,,
T4,2011,12,17,7Total regular and recurring income,31549,,5.1,24195,,6.1
T4,2011,12,18,8Total irregular Income,1122,*,49,0,,
T4,2011,12,19,9Total income all sources,32671,,5.3,24521,,5.7
T4,2011,13,10,0wages and salaries,25116,,4.2,8447,*,23.8
T4,2011,13,11,1self-employment,4568,,20.6,0,,
T4,2011,13,12,2investments,2133,*,22.1,0,,
T4,2011,13,13,3private superannuation,395,*,26.5,0,,
T4,2011,13,14,4New Zealand Superannuation and war pensions,2391,,3.2,0,,
T4,2011,13,15,5Other government benefits,2278,,7.7,0,,
T4,2011,13,16,6Other regular sources,1297,*,33.8,0,,
T4,2011,13,17,7Total regular and recurring income,38180,,4.2,28991,,3.5
T4,2011,13,18,8Total irregular Income,1158,**,53.9,0,,
T4,2011,13,19,9Total income all sources,39338,,4.5,29200,,3.6
T3,2012,11,10,0wages and salaries,54430,,3.9,46735,,4.2
T3,2012,11,11,1self-employment,48744,,20.4,33893,,10.5
T3,2012,11,12,2investments,5542,*,21.4,916,*,23.4
T3,2012,11,13,3private superannuation,23678,*,35.1,15231,,12
T3,2012,11,14,4New Zealand Superannuation and war pensions,15466,,2.8,15405,,0.1
T3,2012,11,15,5Other government benefits,7878,,9,6702,,20.5
T3,2012,11,16,6Other regular sources,10975,*,24.7,2117,,16.9
T3,2012,11,17,7Total regular and recurring income,50045,,4.5,38857,,3.3
T3,2012,11,18,8Total irregular Income,19729,*,46.8,3000,*,44.5
T3,2012,11,19,9Total income all sources,50804,,4.5,39107,,3.5
T3,2012,12,10,0wages and salaries,36115,,3.7,32000,,5.1
T3,2012,12,11,1self-employment,29854,,20,21000,*,28.8
T3,2012,12,12,2investments,5425,*,22.1,698,*,21.6
T3,2012,12,13,3private superannuation,12008,*,37.9,8452,,2.6
T3,2012,12,14,4New Zealand Superannuation and war pensions,17000,,2.7,15813,,2.6
T3,2012,12,15,5Other government benefits,10090,,7.1,7652,,9.8
T3,2012,12,16,6Other regular sources,8097,*,22.4,1800,*,31.3
T3,2012,12,17,7Total regular and recurring income,33654,,3.4,26359,,4
T3,2012,12,18,8Total irregular Income,23333,*,43,4000,*,24.6
T3,2012,12,19,9Total income all sources,34791,,3.4,26692,,4.6
T3,2012,13,10,0wages and salaries,45385,,2.7,39500,,2.5
T3,2012,13,11,1self-employment,41356,,17.5,29146,,15.3
T3,2012,13,12,2investments,5481,,15.8,763,,17.5
T3,2012,13,13,3private superannuation,18927,*,29.8,12720,,17.4
T3,2012,13,14,4New Zealand Superannuation and war pensions,16296,,2,15405,,0.1
T3,2012,13,15,5Other government benefits,9308,,6,7470,,9.6
T3,2012,13,16,6Other regular sources,9469,,17,2000,,18.4
T3,2012,13,17,7Total regular and recurring income,41627,,3,32275,,3.5
T3,2012,13,18,8Total irregular Income,21672,*,32.8,3816,*,29.6
T3,2012,13,19,9Total income all sources,42586,,3,32686,,3.8
T4,2012,11,10,0wages and salaries,33474,,4.4,21742,*,21.1
T4,2012,11,11,1self-employment,6325,*,23.7,0,,
T4,2012,11,12,2investments,1730,*,22.9,0,,
T4,2012,11,13,3private superannuation,495,*,42.3,0,,
T4,2012,11,14,4New Zealand Superannuation and war pensions,2319,,4.4,0,,
T4,2012,11,15,5Other government benefits,1322,,12.4,0,,
T4,2012,11,16,6Other regular sources,1393,*,27.1,0,,
T4,2012,11,17,7Total regular and recurring income,47059,,4.4,36952,,4
T4,2012,11,18,8Total irregular Income,857,*,47.7,0,,
T4,2012,11,19,9Total income all sources,47916,,4.5,37407,,4
T4,2012,12,10,0wages and salaries,20214,,4.9,5786,*,36.7
T4,2012,12,11,1self-employment,2321,*,23.2,0,,
T4,2012,12,12,2investments,1721,*,22.4,0,,
T4,2012,12,13,3private superannuation,161,*,40.9,0,,
T4,2012,12,14,4New Zealand Superannuation and war pensions,2802,,3.9,0,,
T4,2012,12,15,5Other government benefits,2891,,8.4,0,,
T4,2012,12,16,6Other regular sources,1053,*,27.8,0,,
T4,2012,12,17,7Total regular and recurring income,31162,,3.7,24194,,4
T4,2012,12,18,8Total irregular Income,1107,*,47.3,0,,
T4,2012,12,19,9Total income all sources,32269,,3.8,24627,,4.1
T4,2012,13,10,0wages and salaries,26613,,3.2,10981,*,21.7
T4,2012,13,11,1self-employment,4253,,20.4,0,,
T4,2012,13,12,2investments,1725,,16.5,0,,
T4,2012,13,13,3private superannuation,322,*,34.1,0,,
T4,2012,13,14,4New Zealand Superannuation and war pensions,2569,,3,0,,
T4,2012,13,15,5Other government benefits,2134,,7.3,0,,
T4,2012,13,16,6Other regular sources,1217,,20.6,0,,
T4,2012,13,17,7Total regular and recurring income,38834,,3,29863,,4.1
T4,2012,13,18,8Total irregular Income,986,*,34.5,0,,
