Table,Year,Sex,IncomeCode,IncomeDescription,Mean,MeanFlag,MeanRse,Median,MedianFlag,MedianRse
T4,2012,13,19,9Total income all sources,39820,,3.1,30148,,4
T3,2013,11,10,0wages and salaries,56725,,5.9,49101,,4
T3,2013,11,11,1self-employment,49836,,18,34000,,9.8
T3,2013,11,12,2investments,7081,*,22.6,874,*,26.4
T3,2013,11,13,3private superannuation,23064,,19.7,19544,*,23.5
T3,2013,11,14,4New Zealand Superannuation and war pensions,15560,,3.2,15813,,0.3
T3,2013,11,15,5Other government benefits,8328,,10.9,6970,,15.3
T3,2013,11,16,6Other regular sources,8585,*,35,1872,*,39.3
T3,2013,11,17,7Total regular and recurring income,53225,,5.4,43591,,5.8
T3,2013,11,18,8Total irregular Income,16646,*,49.5,1873,**,65.9
T3,2013,11,19,9Total income all sources,53624,,5.4,43474,,5.8
T3,2013,12,10,0wages and salaries,39207,,4.4,35012,,6.3
T3,2013,12,11,1self-employment,33953,*,29,20000,,14.4
T3,2013,12,12,2investments,6393,*,22.8,900,*,26.6
T3,2013,12,13,3private superannuation,14355,,20.1,11691,,6.1
T3,2013,12,14,4New Zealand Superannuation and war pensions,16743,,2.6,16120,,1.2
T3,2013,12,15,5Other government benefits,11228,,6.9,8528,,11.7
T3,2013,12,16,6Other regular sources,8400,*,31.8,2000,*,26.7
T3,2013,12,17,7Total regular and recurring income,36337,,4.1,28202,,5.5
T3,2013,12,18,8Total irregular Income,36877,**,87.3,3747,**,54.3
T3,2013,12,19,9Total income all sources,38040,,5.5,28345,,5.7
T3,2013,13,10,0wages and salaries,48087,,4.3,42220,,3.6
T3,2013,13,11,1self-employment,44312,,17.1,28244,,9
T3,2013,13,12,2investments,6725,,18.2,874,,20.3
T3,2013,13,13,3private superannuation,19440,,15.7,14577,,16.2
T3,2013,13,14,4New Zealand Superannuation and war pensions,16209,,2.2,15813,,0.3
T3,2013,13,15,5Other government benefits,10339,,6.6,8092,,8.3
T3,2013,13,16,6Other regular sources,8482,*,22.9,1926,*,27.9
T3,2013,13,17,7Total regular and recurring income,44487,,3.8,34571,,4.4
T3,2013,13,18,8Total irregular Income,28381,**,66.7,3000,**,60.5
T3,2013,13,19,9Total income all sources,45572,,4.2,34929,,4.3
T4,2013,11,10,0wages and salaries,34841,,6.4,23464,*,25.9
T4,2013,11,11,1self-employment,7055,*,21.9,0,,
T4,2013,11,12,2investments,2093,*,24.5,0,,
T4,2013,11,13,3private superannuation,596,*,35.1,0,,
T4,2013,11,14,4New Zealand Superannuation and war pensions,2392,,4.4,0,,
T4,2013,11,15,5Other government benefits,1082,,18.8,0,,
T4,2013,11,16,6Other regular sources,945,*,39.2,0,,
T4,2013,11,17,7Total regular and recurring income,49003,,5.3,39629,,6.9
T4,2013,11,18,8Total irregular Income,563,*,44.7,0,,
T4,2013,11,19,9Total income all sources,49566,,5.2,39629,,6.9
T4,2013,12,10,0wages and salaries,21845,,5.3,6049,*,40.5
T4,2013,12,11,1self-employment,2390,*,34.3,0,,
T4,2013,12,12,2investments,1894,*,23,0,,
T4,2013,12,13,3private superannuation,246,*,32.2,0,,
T4,2013,12,14,4New Zealand Superannuation and war pensions,2914,,3.9,0,,
T4,2013,12,15,5Other government benefits,3077,,9.9,0,,
T4,2013,12,16,6Other regular sources,1081,*,35.2,0,,
T4,2013,12,17,7Total regular and recurring income,33448,,4.2,25187,,4.4
T4,2013,12,18,8Total irregular Income,1608,**,86.2,0,,
T4,2013,12,19,9Total income all sources,35056,,5.6,25410,,4.7
T4,2013,13,10,0wages and salaries,28116,,4.8,10559,*,25.5
T4,2013,13,11,1self-employment,4641,*,21.8,0,,
T4,2013,13,12,2investments,1990,,19.1,0,,
T4,2013,13,13,3private superannuation,415,*,23.8,0,,
T4,2013,13,14,4New Zealand Superannuation and war pensions,2662,,3.3,0,,
T4,2013,13,15,5Other government benefits,2114,,9.8,0,,
T4,2013,13,16,6Other regular sources,1015,*,26.7,0,,
T4,2013,13,17,7Total regular and recurring income,40954,,3.7,31286,,4.8
T4,2013,13,18,8Total irregular Income,1104,**,65.5,0,,
T4,2013,13,19,9Total income all sources,42058,,4.2,31483,,5.3
T3,2014,11,10,0wages and salaries,57697,,3.9,49800,,4.2
T3,2014,11,11,1self-employment,55159,,12.6,40000,,11.2
T3,2014,11,12,2investments,7497,*,24.4,1119,*,29.1
T3,2014,11,13,3private superannuation,24233,,19.8,18795,,10.8
T3,2014,11,14,4New Zealand Superannuation and war pensions,16106,,2.6,16298,,0.3
T3,2014,11,15,5Other government benefits,8154,,8.3,6970,,13.4
T3,2014,11,16,6Other regular sources,13999,*,26,3946,*,35.1
T3,2014,11,17,7Total regular and recurring income,55072,,3.5,44739,,4.1
T3,2014,11,18,8Total irregular Income,34607,**,56.6,6245,*,29.9
T3,2014,11,19,9Total income all sources,56608,,4,45000,,3.6
T3,2014,12,10,0wages and salaries,38260,,4.3,35457,,4.5
T3,2014,12,11,1self-employment,33924,,18.8,23464,,12.1
T3,2014,12,12,2investments,6488,,20.4,1200,,19.5
T3,2014,12,13,3private superannuation,14776,*,35.4,10643,*,27.1
T3,2014,12,14,4New Zealand Superannuation and war pensions,17579,,2.2,16302,,0.9
T3,2014,12,15,5Other government benefits,10373,,7.2,7410,,10
T3,2014,12,16,6Other regular sources,14777,*,29.6,3000,*,30.7
T3,2014,12,17,7Total regular and recurring income,36468,,4,28171,,5.7
T3,2014,12,18,8Total irregular Income,33754,*,41.8,4250,**,50.1
T3,2014,12,19,9Total income all sources,37944,,4.2,28602,,5.2
T3,2014,13,10,0wages and salaries,48123,,3.2,42138,,3.6
T3,2014,13,11,1self-employment,47742,,10.8,33366,,10.2
T3,2014,13,12,2investments,6982,,19,1187,,19.5
T3,2014,13,13,3private superannuation,20750,,17.9,15588,,14.8
T3,2014,13,14,4New Zealand Superannuation and war pensions,16901,,1.9,16298,,0.1
T3,2014,13,15,5Other government benefits,9616,,6.1,7280,,8.8
T3,2014,13,16,6Other regular sources,14445,,20.1,3192,*,31.9
T3,2014,13,17,7Total regular and recurring income,45538,,2.9,35457,,4.5
T3,2014,13,18,8Total irregular Income,34173,*,36.2,5000,*,35.5
T3,2014,13,19,9Total income all sources,47040,,3.2,35742,,4.8
T4,2014,11,10,0wages and salaries,34611,,5.2,20336,*,29.4
T4,2014,11,11,1self-employment,8406,,15.9,0,,
T4,2014,11,12,2investments,2241,*,24.8,0,,
T4,2014,11,13,3private superannuation,702,*,27.6,0,,
T4,2014,11,14,4New Zealand Superannuation and war pensions,2565,,4.4,0,,
T4,2014,11,15,5Other government benefits,1172,,13.7,0,,
T4,2014,11,16,6Other regular sources,1524,*,28.1,0,,
T4,2014,11,17,7Total regular and recurring income,51220,,3.6,41419,,5.1
T4,2014,11,18,8Total irregular Income,1521,**,56.9,0,,
T4,2014,11,19,9Total income all sources,52742,,4.1,41714,,5.1
T4,2014,12,10,0wages and salaries,20835,,5.3,4171,**,61.7
T4,2014,12,11,1self-employment,2595,*,23.6,0,,
T4,2014,12,12,2investments,1896,,20.2,0,,
T4,2014,12,13,3private superannuation,233,*,47,0,,
T4,2014,12,14,4New Zealand Superannuation and war pensions,3071,,3.1,0,,
T4,2014,12,15,5Other government benefits,2695,,9.2,0,,
T4,2014,12,16,6Other regular sources,2018,*,31.1,0,,
T4,2014,12,17,7Total regular and recurring income,33343,,4.1,25000,,5.7
T4,2014,12,18,8Total irregular Income,1442,*,41.2,0,,
T4,2014,12,19,9Total income all sources,34785,,4.4,25277,,5.4
T4,2014,13,10,0wages and salaries,27492,,4,9495,*,26.6
T4,2014,13,11,1self-employment,5403,,13.7,0,,
T4,2014,13,12,2investments,2063,,19.5,0,,
T4,2014,13,13,3private superannuation,460,*,22.9,0,,
T4,2014,13,14,4New Zealand Superannuation and war pensions,2826,,3,0,,
T4,2014,13,15,5Other government benefits,1959,,7.8,0,,
T4,2014,13,16,6Other regular sources,1779,*,21.1,0,,
T4,2014,13,17,7Total regular and recurring income,41983,,3,31750,,5
T4,2014,13,18,8Total irregular Income,1480,*,35.8,0,,
T4,2014,13,19,9Total income all sources,43463,,3.3,32272,,5.1
T3,2015,11,10,0wages and salaries,57917,,4,50000,,3.5
T3,2015,11,11,1self-employment,58808,,16,41373,,11.3
T3,2015,11,12,2investments,7099,,17.3,800,*,23.5
T3,2015,11,13,3private superannuation,27993,,18.9,21709,,9.8
T3,2015,11,14,4New Zealand Superannuation and war pensions,16839,,1.7,16688,,0.3
T3,2015,11,15,5Other government benefits,8032,,7.7,6500,,10.3
T3,2015,11,16,6Other regular sources,19827,*,40.1,3000,*,26.6
T3,2015,11,17,7Total regular and recurring income,57439,,4.5,44630,,3.4
T3,2015,11,18,8Total irregular Income,30829,*,38.7,4871,*,32.1
T3,2015,11,19,9Total income all sources,58815,,4.6,45000,,3.3
T3,2015,12,10,0wages and salaries,39941,,4,35000,,3.9
T3,2015,12,11,1self-employment,35251,*,22.1,20857,,18.7
T3,2015,12,12,2investments,6241,,20,805,,18.6
T3,2015,12,13,3private superannuation,17274,*,26.6,11624,*,23.5
T3,2015,12,14,4New Zealand Superannuation and war pensions,17906,,2,16865,,0.9
T3,2015,12,15,5Other government benefits,9862,,6.9,7000,,10.4
T3,2015,12,16,6Other regular sources,9974,,19.6,2653,*,21.1
T3,2015,12,17,7Total regular and recurring income,37998,,3.4,29477,,3.4
T3,2015,12,18,8Total irregular Income,38390,*,43.2,4109,*,40.1
T3,2015,12,19,9Total income all sources,39798,,4.3,29710,,3.5
T3,2015,13,10,0wages and salaries,48976,,3,42000,,2.3
T3,2015,13,11,1self-employment,50549,,14,31500,,13.9
T3,2015,13,12,2investments,6667,,14.2,800,,18.7
T3,2015,13,13,3private superannuation,24104,,15.8,17861,,11
T3,2015,13,14,4New Zealand Superannuation and war pensions,17414,,1.5,16703,,0.1
T3,2015,13,15,5Other government benefits,9203,,5.5,6786,,7.6
T3,2015,13,16,6Other regular sources,14508,*,27.6,2748,,17.5
T3,2015,13,17,7Total regular and recurring income,47525,,3.3,36000,,2.9
T3,2015,13,18,8Total irregular Income,34722,*,30.9,4725,*,31.7
T3,2015,13,19,9Total income all sources,49112,,3.7,36500,,3.2
T4,2015,11,10,0wages and salaries,35547,,4.8,22714,,17.2
T4,2015,11,11,1self-employment,8545,,18.7,0,,
T4,2015,11,12,2investments,2440,,18.2,0,,
T4,2015,11,13,3private superannuation,675,*,27.2,0,,
T4,2015,11,14,4New Zealand Superannuation and war pensions,2777,,2.4,0,,
T4,2015,11,15,5Other government benefits,1188,,11.8,0,,
T4,2015,11,16,6Other regular sources,2523,*,42.6,0,,
T4,2015,11,17,7Total regular and recurring income,53696,,4.4,41866,,3.5
T4,2015,11,18,8Total irregular Income,1428,*,43.4,0,,
T4,2015,11,19,9Total income all sources,55125,,4.6,42100,,3.5
T4,2015,12,10,0wages and salaries,22833,,4.9,7300,*,26.6
T4,2015,12,11,1self-employment,2602,*,24,0,,
T4,2015,12,12,2investments,2051,,20.9,0,,
T4,2015,12,13,3private superannuation,223,*,33.3,0,,
T4,2015,12,14,4New Zealand Superannuation and war pensions,3242,,2.2,0,,
T4,2015,12,15,5Other government benefits,2437,,8.5,0,,
T4,2015,12,16,6Other regular sources,1401,,20.9,0,,
T4,2015,12,17,7Total regular and recurring income,34790,,3.5,26171,,4.4
T4,2015,12,18,8Total irregular Income,1777,*,44.4,0,,
T4,2015,12,19,9Total income all sources,36567,,4.5,26694,,4.6
T4,2015,13,10,0wages and salaries,28997,,3.5,12214,,15.8
T4,2015,13,11,1self-employment,5484,,16.1,0,,
T4,2015,13,12,2investments,2239,,14.9,0,,
T4,2015,13,13,3private superannuation,442,*,22.2,0,,
T4,2015,13,14,4New Zealand Superannuation and war pensions,3017,,1.8,0,,
T4,2015,13,15,5Other government benefits,1832,,7.3,0,,
T4,2015,13,16,6Other regular sources,1945,*,29.5,0,,
T4,2015,13,17,7Total regular and recurring income,43956,,3.2,32527,,3.5
T4,2015,13,18,8Total irregular Income,1608,*,32.5,0,,
T4,2015,13,19,9Total income all sources,45564,,3.7,32978,,3.5
T3,2016,11,10,0wages and salaries,59608,,5,51000,,3.9
T3,2016,11,11,1self-employment,64959,,14.7,42397,,12.2
T3,2016,11,12,2investments,8379,,20.7,1249,*,22.9
T3,2016,11,13,3private superannuation,24685,*,27.9,17986,*,21.2
T3,2016,11,14,4New Zealand Superannuation and war pensions,17836,,2,17013,,2.9
T3,2016,11,15,5Other government benefits,8073,,9.8,6842,,16.4
T3,2016,11,16,6Other regular sources,9861,*,21.5,2500,*,36.3
T3,2016,11,17,7Total regular and recurring income,56488,,5.6,44306,,4.7
T3,2016,11,18,8Total irregular Income,37556,*,36.8,6245,**,50.8
T3,2016,11,19,9Total income all sources,57883,,5.7,44626,,5.1
T3,2016,12,10,0wages and salaries,39781,,3.6,35455,,4.7
T3,2016,12,11,1self-employment,41882,,16.6,25000,,13.5
T3,2016,12,12,2investments,6811,*,28.3,1249,*,22.5
T3,2016,12,13,3private superannuation,15829,*,37.8,13489,*,26.9
T3,2016,12,14,4New Zealand Superannuation and war pensions,19230,,1.9,17534,,10.1
T3,2016,12,15,5Other government benefits,10117,,7.1,7560,,8
T3,2016,12,16,6Other regular sources,9608,*,26.6,2186,,10
T3,2016,12,17,7Total regular and recurring income,37886,,3.8,28854,,4.5
T3,2016,12,18,8Total irregular Income,45669,***,102.3,6245,*,22.6
T3,2016,12,19,9Total income all sources,39360,,5.2,29210,,4.2
T3,2016,13,10,0wages and salaries,49694,,3.4,42963,,3.8
T3,2016,13,11,1self-employment,56106,,13.3,35000,,11.2
T3,2016,13,12,2investments,7582,,18.6,1249,,20.8
T3,2016,13,13,3private superannuation,21701,*,23.2,16506,*,21.6
T3,2016,13,14,4New Zealand Superannuation and war pensions,18582,,1.4,17013,,2.8
T3,2016,13,15,5Other government benefits,9360,,6,7280,,9.3
T3,2016,13,16,6Other regular sources,9731,,18.6,2281,*,24.3
T3,2016,13,17,7Total regular and recurring income,47056,,4.1,35445,,4
T3,2016,13,18,8Total irregular Income,41444,**,56,6245,**,50.4
T3,2016,13,19,9Total income all sources,48484,,4.6,35757,,4
T4,2016,11,10,0wages and salaries,33443,,6.5,11627,*,34.9
T4,2016,11,11,1self-employment,10800,,15.7,0,,
T4,2016,11,12,2investments,2209,*,21.9,0,,
T4,2016,11,13,3private superannuation,569,*,33.8,0,,
T4,2016,11,14,4New Zealand Superannuation and war pensions,2941,,2.8,0,,
T4,2016,11,15,5Other government benefits,1091,,16.2,0,,
T4,2016,11,16,6Other regular sources,1539,*,24.8,0,,
T4,2016,11,17,7Total regular and recurring income,52592,,5.9,40018,,5.2
T4,2016,11,18,8Total irregular Income,1350,*,41,0,,
T4,2016,11,19,9Total income all sources,53942,,6,40726,,5.4
T4,2016,12,10,0wages and salaries,21121,,4.9,3256,**,69
T4,2016,12,11,1self-employment,4101,*,21.9,0,,
T4,2016,12,12,2investments,1758,*,28.8,0,,
T4,2016,12,13,3private superannuation,175,*,41,0,,
T4,2016,12,14,4New Zealand Superannuation and war pensions,3458,,2.6,0,,
T4,2016,12,15,5Other government benefits,2202,,9.7,0,,
T4,2016,12,16,6Other regular sources,1509,*,29.1,0,,
T4,2016,12,17,7Total regular and recurring income,34323,,4.2,25759,,4.3
T4,2016,12,18,8Total irregular Income,1430,***,108.9,0,,
T4,2016,12,19,9Total income all sources,35753,,5.1,26070,,4.3
T4,2016,13,10,0wages and salaries,27111,,4.6,6499,*,40.3
T4,2016,13,11,1self-employment,7358,,14.9,0,,
T4,2016,13,12,2investments,1977,,19.6,0,,
T4,2016,13,13,3private superannuation,367,*,27.1,0,,
T4,2016,13,14,4New Zealand Superannuation and war pensions,3206,,1.9,0,,
T4,2016,13,15,5Other government benefits,1662,,9.4,0,,
T4,2016,13,16,6Other regular sources,1524,*,21.1,0,,
T4,2016,13,17,7Total regular and recurring income,43205,,4.4,31284,,4.2
T4,2016,13,18,8Total irregular Income,1391,**,60.6,0,,
T4,2016,13,19,9Total income all sources,44596,,4.8,31585,,4.7
T3,2017,11,10,0wages and salaries,59223,,4.1,51500,,3.3
T3,2017,11,11,1self-employment,68281,,15.1,47000,,7
T3,2017,11,12,2investments,10618,*,38.1,1500,*,31.7
T3,2017,11,13,3private superannuation,25581,*,26.9,19484,*,26.2
T3,2017,11,14,4New Zealand Superannuation and war pensions,18116,,2.1,17505,,2.3
T3,2017,11,15,5Other government benefits,9040,,8.6,7962,,13.2
T3,2017,11,16,6Other regular sources,11251,*,26.8,3123,*,24.7
T3,2017,11,17,7Total regular and recurring income,58925,,5.1,47174,,3.8
T3,2017,11,18,8Total irregular Income,30793,*,44.8,4996,*,27.3
T3,2017,11,19,9Total income all sources,59613,,5.3,47200,,3.9
T3,2017,12,10,0wages and salaries,42872,,5.4,37958,,4.1
T3,2017,12,11,1self-employment,42460,,16.2,28756,,17.3
T3,2017,12,12,2investments,7919,,17.6,1561,*,27.5
T3,2017,12,13,3private superannuation,18024,*,27.8,15000,,18.3
T3,2017,12,14,4New Zealand Superannuation and war pensions,19248,,2.1,17769,,0.7
T3,2017,12,15,5Other government benefits,11307,,7,8609,,8.5
T3,2017,12,16,6Other regular sources,10981,*,33.6,2186,,10.7
T3,2017,12,17,7Total regular and recurring income,40303,,4.7,31002,,5.3
T3,2017,12,18,8Total irregular Income,66966,**,73.7,7000,*,38.9
T3,2017,12,19,9Total income all sources,42404,,5.5,31365,,4.7
T3,2017,13,10,0wages and salaries,51094,,3.3,45000,,3.2
T3,2017,13,11,1self-employment,58774,,12.6,40000,,8.8
T3,2017,13,12,2investments,9295,*,24.4,1561,*,24.3
T3,2017,13,13,3private superannuation,23040,*,21.3,17251,*,21.2
T3,2017,13,14,4New Zealand Superannuation and war pensions,18722,,1.6,17505,,2.2
T3,2017,13,15,5Other government benefits,10527,,5.4,8447,,6.5
T3,2017,13,16,6Other regular sources,11108,*,21.6,2498,,19.3
T3,2017,13,17,7Total regular and recurring income,49475,,3.8,38108,,4
T3,2017,13,18,8Total irregular Income,51298,**,56.1,6245,*,22.7
T3,2017,13,19,9Total income all sources,50880,,4.1,38282,,3.5
T4,2017,11,10,0wages and salaries,33705,,5.3,12889,*,37.1
T4,2017,11,11,1self-employment,12259,,15.8,0,,
T4,2017,11,12,2investments,2753,*,39.3,0,,
T4,2017,11,13,3private superannuation,623,*,37.2,0,,
T4,2017,11,14,4New Zealand Superannuation and war pensions,3051,,3,0,,
T4,2017,11,15,5Other government benefits,1069,,15.7,0,,
T4,2017,11,16,6Other regular sources,1630,*,30.9,0,,
T4,2017,11,17,7Total regular and recurring income,55090,,5,43798,,5.1
T4,2017,11,18,8Total irregular Income,735,**,50.6,0,,
T4,2017,11,19,9Total income all sources,55824,,5.3,43852,,4.7
T4,2017,12,10,0wages and salaries,22900,,6.1,3828,**,62.5
T4,2017,12,11,1self-employment,4217,,18.6,0,,
T4,2017,12,12,2investments,1874,,18.7,0,,
T4,2017,12,13,3private superannuation,211,*,45.2,0,,
T4,2017,12,14,4New Zealand Superannuation and war pensions,3538,,3,0,,
T4,2017,12,15,5Other government benefits,2419,,9.9,0,,
T4,2017,12,16,6Other regular sources,1690,*,35.3,0,,
T4,2017,12,17,7Total regular and recurring income,36850,,4.8,27208,,4.8
T4,2017,12,18,8Total irregular Income,1984,**,81.8,0,,
T4,2017,12,19,9Total income all sources,38834,,5.6,27983,,4.7
T4,2017,13,10,0wages and salaries,28162,,4.2,7379,*,32.6
T4,2017,13,11,1self-employment,8133,,13.4,0,,
T4,2017,13,12,2investments,2302,*,25.4,0,,
T4,2017,13,13,3private superannuation,411,*,31.1,0,,
T4,2017,13,14,4New Zealand Superannuation and war pensions,3301,,2.2,0,,
T4,2017,13,15,5Other government benefits,1762,,8.9,0,,
T4,2017,13,16,6Other regular sources,1661,*,24.4,0,,
T4,2017,13,17,7Total regular and recurring income,45732,,3.9,34412,,4.6
T4,2017,13,18,8Total irregular Income,1376,**,61.9,0,,
T4,2017,13,19,9Total income all sources,47108,,4.1,34917,,4.4
T3,2018,11,10,0wages and salaries,61221,,4.6,52530,,3.4
T3,2018,11,11,1self-employment,74623,,13.2,49960,,10.4
T3,2018,11,12,2investments,10536,*,28.9,925,,15.2
T3,2018,11,13,3private superannuation,26895,,18.4,23981,,11
T3,2018,11,14,4New Zealand Superannuation and war pensions,18154,,2,17769,,3.5
T3,2018,11,15,5Other government benefits,9941,,8.4,8154,,15.1
T3,2018,11,16,6Other regular sources,13602,,20,3572,*,26.1
T3,2018,11,17,7Total regular and recurring income,61878,,5.1,47588,,3.3
T3,2018,11,18,8Total irregular Income,28396,*,31.9,9243,*,32.5
T3,2018,11,19,9Total income all sources,62954,,5,48000,,3.5
T3,2018,12,10,0wages and salaries,43008,,3.4,39367,,2.8
T3,2018,12,11,1self-employment,43660,,15.8,30000,,16
T3,2018,12,12,2investments,7927,*,27.6,900,*,26.1
T3,2018,12,13,3private superannuation,17905,*,29.2,13062,,8.7
T3,2018,12,14,4New Zealand Superannuation and war pensions,19423,,1.7,18289,,1.3
T3,2018,12,15,5Other government benefits,11651,,5.5,9004,,8.2
T3,2018,12,16,6Other regular sources,10129,,17.9,2242,*,24.2
T3,2018,12,17,7Total regular and recurring income,41477,,3.3,32327,,3.5
T3,2018,12,18,8Total irregular Income,30215,*,27.6,6439,**,68.4
T3,2018,12,19,9Total income all sources,42754,,3.4,32852,,3.9
T3,2018,13,10,0wages and salaries,52124,,3.1,45673,,1.9
T3,2018,13,11,1self-employment,63141,,11,40388,,7.7
T3,2018,13,12,2investments,9223,*,26.7,900,,14.2
T3,2018,13,13,3private superannuation,23347,,18,20338,,17
T3,2018,13,14,4New Zealand Superannuation and war pensions,18829,,1.5,17801,,1.4
T3,2018,13,15,5Other government benefits,11032,,5.1,8736,,8.3
T3,2018,13,16,6Other regular sources,11704,,14.8,2498,*,21.2
T3,2018,13,17,7Total regular and recurring income,51527,,3.7,39367,,2.8
T3,2018,13,18,8Total irregular Income,29386,,20.8,7494,*,44.3
T3,2018,13,19,9Total income all sources,52696,,3.7,39998,,2.9
T4,2018,11,10,0wages and salaries,35237,,4.9,15603,*,23.2
T4,2018,11,11,1self-employment,12458,,16.3,0,,
T4,2018,11,12,2investments,3183,*,28.9,0,,
T4,2018,11,13,3private superannuation,583,*,32,0,,
T4,2018,11,14,4New Zealand Superannuation and war pensions,3056,,2.6,0,,
T4,2018,11,15,5Other government benefits,1297,,12.2,0,,
T4,2018,11,16,6Other regular sources,2224,*,21.8,0,,
T4,2018,11,17,7Total regular and recurring income,58037,,5.1,44963,,3.8
T4,2018,11,18,8Total irregular Income,1043,*,35.4,0,,
T4,2018,11,19,9Total income all sources,59080,,5,45126,,3.9
T4,2018,12,10,0wages and salaries,23518,,4.7,5743,*,43.8
T4,2018,12,11,1self-employment,4090,,20.8,0,,
T4,2018,12,12,2investments,2309,*,28,0,,
T4,2018,12,13,3private superannuation,241,*,41.5,0,,
T4,2018,12,14,4New Zealand Superannuation and war pensions,3543,,2.7,0,,
T4,2018,12,15,5Other government benefits,2548,,7.6,0,,
T4,2018,12,16,6Other regular sources,1900,,19.5,0,,
T4,2018,12,17,7Total regular and recurring income,38149,,3.6,28550,,5.2
T4,2018,12,18,8Total irregular Income,1262,*,29.9,0,,
T4,2018,12,19,9Total income all sources,39412,,3.7,29294,,5.6
T4,2018,13,10,0wages and salaries,29234,,3.8,9190,*,24.3
T4,2018,13,11,1self-employment,8171,,13.9,0,,
T4,2018,13,12,2investments,2736,*,26.9,0,,
T4,2018,13,13,3private superannuation,407,*,28.8,0,,
T4,2018,13,14,4New Zealand Superannuation and war pensions,3305,,2.2,0,,
T4,2018,13,15,5Other government benefits,1938,,7.3,0,,
T4,2018,13,16,6Other regular sources,2058,,15.7,0,,
T4,2018,13,17,7Total regular and recurring income,47849,,3.7,36000,,3.7
T4,2018,13,18,8Total irregular Income,1155,*,22.2,0,,
T4,2018,13,19,9Total income all sources,49004,,3.8,36597,,3.1
